Input,Material,Colour,Weight,Volume
"Decen Glass Kettle, Electric Kettle Temperature Control with 5 Colors LED Lights Variable, Keep Warm 2H, Fast Boiling Electric Kettle, Stainless Steel Inner Lid & Bottom, 1.7L, BPA Free
Brand Decen
Colour Black
Material Glass
❤Precision Variable Temperature Electric Kettle❤ From 50 to 100 degrees, this kettle could cook and keep perfect temp of water to brew one fine cup of coffee or to meet wide range types of tea (oolong, green, black, white, and herbal tea). It also can keep warm 2 Hours.
❤5 Colors Indicate Different Temperatures❤ The kettle is available adjustable temperature with different colors led display: Dark Green 50 °C, Blue 70 °C, Purple 80 °C, Light Green 90 °C, Red 100 °C to get the best, most flavorful teas, coffees or simply boil cooking water.
❤Keep Warm for 2 Hours ❤ Long press the temperature switch for 3 seconds, the water temperature can be kept for 2 Hours. The glass kettle will automatically shut off when the water reaches the set temperature. When the water is nearly dry-out, the kettle will protect against overheating and switch off automatically.
❤Food grade material❤ The electric kettle is made with glass while the inner lid and base are made of food-grade 304 stainless steel. All the water contact surfaces are constructed of FDA approved & food grade material and heat-resistant
❤2 Years Quality Support❤Using advanced technology, UL, ETL certification. There will be no worries for your purchase, 2 Years quality support and lifelong tech support are included in your order.
Brand Decen
Colour Black
Package Dimensions 27.4 x 22.4 x 20.1 cm; 1.35 Kilograms
Volume Capacity 1.7 litres
Material Glass
Item Weight 1.35 kg
",glass,black,1.35kg,1.7L
"SQ Professional Epoque Green Electric Kettle with Rose Gold Accents & Temperature Display - 2200W - 1.8L Stainless Steel
Brand SQ Professional
Colour Green
Capacity 1.8 litres
Material Stainless Steel
Power / Wattage 2200 watts
1.8 Litre Capacity
2200W
360° Swivel Base
Soft-touch handles and knobs
Rose Gold temperature dial
Brand SQ Professional
Colour Green
Capacity 1.8 litres
Volume Capacity 1.8 litres
Power / Wattage 2200 watts
Material Stainless Steel
Special Features Water Filter, Cordless
",metal,green,1.8kg,1.8L
"Russell Hobbs 20460 Quiet Boil Kettle, Brushed Stainless Steel, Silver, 3000 W, 1.7 Litre
Brand Russell Hobbs
Colour Stainless Steel
Capacity 1.7 litres
Material Stainless Steel
Voltage 240
The brushed stainless steel kettle heats up quickly is easy to clean and will not discolour regardless of use or age
Quiet boil technology makes this a hot favourite for people in open plan living spaces busy households and those who value peace and quiet with their brew
A rapid boil zone indicator within the kettle allows you to fill just the right amount of water and boils one cup super-fast taking only 45 seconds
The removable washable lime scale filter will keep your brew tasting amazing and is ideal for those living in hard water areas. Illuminated light ring – illuminates blue on boil
Suitable for both right handed and left handed users the 360 Degree base means no matter where your new kettle lives it's always within easy reach
Brand Russell Hobbs
Model Number 20460
Colour Stainless Steel
Product Dimensions 21.8 x 23.5 x 15.8 cm; 1.2 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Voltage 240
Material Stainless Steel
Auto Shutoff No
Energy Efficiency Class A+ to F
Noise Level 1 dB
Runtime 1 minute
Special Features Boil Dry Protection, Concealed Heating, Cordless, Water Filter
Item Weight 1.2 kg
",metal,other,1.2kg,1.7L
"Kettle AICOK 1.7L Glass Electric with LED Blue Light, Auto Shut-Off & Boil-Dry Protection, BPA-Free Cordless Electric Kettle, Quiet Fast Boil, Durable Schott Glass
Brand AICOK
Colour Blue
Power / Wattage 1500 watts
Item Dimensions  L x W x H 27.2 x 24.6 x 19.1 centimetres
Illuminated LED Light▶Featuring on illuminated display, the glass kettle can give you visual enjoyment while working, perfect for your kitchen or pantry.
Food grade material▶ The electric kettle is made with glass while the inner lid and base are made of food-grade 304 stainless steel. All the water contact surfaces are constructed of FDA approved & food grade material and heat-resistant.
Heat up quickly and quietly▶ it will be a big help in quickly boiling or heating water for cooking such as pasta or polenta. Especially in the morning, it heats so fast and enables you to make hot cereals very quickly as well as hot chocolate, etc. Which saves you from being late on most days. Only takes 6 minutes to boil 1. 5L water. No more long time waiting.
Safety▶Thanks to boil dry protection, the kettle will not turn on without water or with water but less than 0.5L; It will shut off automatically once the water is boiled. The kettle is also 100% BPA free.
2 Years Quality Support▶Using advanced technology, UL, ETL certification. There will be no worries for your purchase, 2 Years quality assurance, 30 days money back and lifelong tech support are included in your order.
Brand AICOK
Model Number KE8026
Colour Blue
Product Dimensions 27.18 x 24.64 x 19.05 cm; 1.43 Kilograms
Volume Capacity 1.7 litres
Power / Wattage 1500 watts
Item Weight 1.43 kg
",glass,blue,1.43kg,1.7L
"Breville VKT090 Flow Electric Kettle, 1.7 L, 3 KW Fast Boil, Black
Brand Breville
Colour Black
Capacity 1.7 litres
Item Dimensions  L x W x H 16.3 x 22.7 x 26.1 centimetres
Elegant, flowing textured design with a gloss finish and chrome accents; illuminates white on boil
3 KW concealed element for rapid boiling; 1.7 L capacity makes 6 to 8 cups
Rear water window and extra wide spout makes accurate filling and pouring easy
Removable, cleanable limescale filter; concealed element for easy cleaning
360-Degree rotational base, lift off lid, non-slip feet and cord storage
Complete your black kettle and toaster set with the matching Flow collection toaster
Brand Breville
Colour Black
Product Dimensions 16.3 x 22.7 x 26.1 cm; 1.42 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Special Features Concealed_Heating
Item Weight 1.42 kg
",other,black,1.42kg,1.7L
"Morphy Richards 108268 Jug Kettle Dune, Plastic, 1.5 liters, Green
Brand Morphy Richards
Colour Green
Capacity 1.5 litres
Material Plastic
Item Dimensions  L x W x H 20 x 16 x 24 centimetres
Large 1.5L capacity, so you can make up to 6 drinks at a time
3kW element for rapid boil, so you can have your hot drink as soon as possible
Easy view water window, so that you can easily view how much water is in your kettle
360 degree base for right and left hand use
Cord storage to keep your worktop neat and tidy
Ultra-stylish in on-trend patterned plastic and premium gloss finish
Let Dune make a sweeping statement in your kitchen
Brand Morphy Richards
Model Number 108268
Colour Green
Product Dimensions 20 x 16 x 24 cm; 1.14 Kilograms
Capacity 1.5 litres
Volume Capacity 1.5 litres
Material Plastic
Energy Efficiency Class A to G
Special Features 360 degree base, Cord storage, 1.5L Capacity, Easy View Water Window, Rapid Boil
Item Weight 1.14 kg
",plastic,green,1.14kg,1.5L
"Kettle Decen 1.7L Tea Kettle with Removable Tea Infuser, LCD Display Stainless Steel Glass Kettle with 6 Temperature Presets, 120 Mins Smart Keep Warm, Auto Shut-Off & Boil-Dry Protection, BPA Free
Brand Decen
Capacity 1.7 litres
Power / Wattage 1200 watts
Item Dimensions  L x W x H 17 x 20 x 25.4 centimetres
THE PUREST TASTE for BREWING - SUPERIOR QUALITY - Made of the finest quality borosilicate glass, which resistant to high temperatures, scratching and scuffing. The kettle of inner lid and bottom are made of high-quality 304 stainless steel, no plastics touch your tea or boiling water
6 PRESET PROGRAMS & CUSTOM TEMPERATURES - 6 pre-made programs, perfect for making black tea, oolong tea, white tea, green tea , delicate tea , boiling water , coffee, etc. Besides, freely set six temperature
KEEP WARM & SAFETY DESIGN - 120 mins smart keep warm allows you to enjoy the taste of the beverage. Always ready for brewing the next cup of tea or coffee and without waiting to heat water again. This Tea kettle also is built-in auto shut off and Boil dry protection, feel safe to leave the kettle alone.
WIDE MOUTH & EASY TO CLEAN - The kettle of wide mouth means both easy cleaning and filling, it allows for easy access to clean those deposits or ""rust"" Away. Refer the descale instruction in our Manual tutorials under the description section.
DURABLE & SATISFACTION CUSTOMER SERVICE - Finest quality borosilicate glass, stainless steel base/infuser and food-grade 304 stainless steel with UL/CE certifications ensure the durability of our kettle. 2 years and 24/7 lifelong support give a risk free support.
Brand Decen
Model Number CosyInSofa
Product Dimensions 17.02 x 19.99 x 25.4 cm; 2.46 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 1200 watts
Item Weight 2.46 kg
",metal,other,2.46kg,1.7L
"Russell Hobbs 20413 Colour Plus Kettle, Stainless Steel, 3000 W, 1.7 Litre, Jet Black
Brand Russell Hobbs
Colour Jet Black
Capacity 1.7 litres
Material Stainless Steel
Power / Wattage 3000
Rapid Boil: Boil one cup in 45 seconds *based on boiling 250 ml water
Large 1.7 Litre capacity; 360 degree base with cord storage
Side water gauge; pull to open hinged lid
Ideal pour spout; removable filter
The 3000 W Colours Plus Black Kettle combines polished stainless steel accents with a black casing for a sleek and elegant finish
Brand Russell Hobbs
Model Number 20413
Colour Jet Black
Product Dimensions 16 x 23 x 24.5 cm; 990 Grams
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000
Material Stainless Steel
Auto Shutoff Yes
Item Weight 990 g
",metal,black,990g,1.7L
"Tower T10052MNB Empire 1.7 Litre Kettle with Rapid Boil, Removable Filter, 3000 W, Midnight Blue with Brass Accents
Brand Tower
Colour Midnight Blue
Capacity 1.7 litres
Material Stainless Steel, Plastic
Power / Wattage 3000 watts
ART DECO DESIGN: Twenties-inspired geometric design with bold midnight blue and bronze colouring combines vintage and contemporary decor
FAST BOIL: Make hot drinks in under a minute, with rapid boil technology capable of boiling one cup of water in 45 seconds
SERVES UP TO 7: Large tank capacity makes up to 7 cups in a single fill, providing enough water to make drinks for a household
EASY-TO-CLEAN: Removable filter to easily clean excess limescale while maintaining the kettle’s high-quality
SAFETY PROTECTION: Built-in boil dry protection and automatic switch-off ensures safety during use
3 YEAR WARRANTY: The product comes with a standard 1 year warranty, with an additional 2 years added once you register the product online
Brand Tower
Model Number T10052MNB
Colour Midnight Blue
Product Dimensions 25.5 x 17.5 x 20.5 cm; 1.11 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel, Plastic
Special Features Rapid boil, Removable filter, Boil dry safety shut off
Item Weight 1.11 kg
",metal,blue,1.11kg,1.7L
"Bonsenkitchen Glass Electric Kettle,1.7L Fast Boil Water Kettle with Illuminated LED, Auto-Off & Boil-Dry Protection, BPA-Free, 2200W
Brand Bonsenkitchen
Colour Silver
Capacity 1.7 litres
Material 304 Stainless Steel & Borosilicate Glass
Power / Wattage 2200 watts
【Blue LED Indicator】Our electric glass kettle with attractive LED indicator, soft blue light and visible glass design provide you the clear water capacity and boiling process.The delicate yet classy looking glass kettle works like a charm and adds beauty to your kitchen.
【Fast Boiling & Large Capacity 】Bonsenkitchen Kettle boils water within 2-5 minutes, 5mins to boil a full pot (1.7L), 0.5L for just 2mins. Effectively saves more energy. 1.7L Large capacity makes enough water for 6-7 people, perfect match for Coffee, tea, pasta, oatmeal etc.
【Extraordinary Safety】Built with the professional British temperature controller, advanced auto shut-off and boil-dry protection function ensure 100%. The stay-cool handle will ensure that handling of the tea kettle is easy and safe, helps to prevent burns. Protect you and your family on all sides
【Easy to Use and Clean】A wide mouth means easily reach the inside of the kettle through its opening to wipe down or wash the glass with a rag or sponge. Separable base for convenient serving and cable storage.the kettle rotates 360°for convenient pouring and serving
【12 Months Warranty】The electric water boiler comes with 12 months warranty. If you have any questions, please do not hesitate to contact us，and we will reply you within 24 hours to solve all of your concerns.
Brand Bonsenkitchen
Colour Silver
Product Dimensions 22.7 x 14.8 x 24.7 cm; 1.42 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 2200 watts
Material 304 Stainless Steel & Borosilicate Glass
Special Features Boil Dry Protection; Automatic shut-off; BPA-Free; Cordless, Blue LED Light
Item Weight 1.42 kg
",metal,silver,1.42kg,1.7L
"Russell Hobbs 21270 Textures Plastic Kettle, 1.7 Litre, 3000 W, White
Brand Russell Hobbs
Colour White
Capacity 1.7 litres
Material Plastic
Power / Wattage 3000 watts

Features dual water windows with concealed heating element
Great design for your Kitchen and Home
Easy to Clean and easy storage

Brand Russell Hobbs
Model Number 21270
Colour White
Product Dimensions 21 x 15.8 x 23.8 cm; 1.05 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Plastic
Auto Shutoff No
Energy Efficiency Class A+
Runtime 0 minute
Special Features Concealed_Heating
Item Weight 1.05 kg
",plastic,white,1.05kg,1.7L
"Kettle AICOK 1.7L Glass Electric with LED Blue Light, Auto Shut-Off & Boil-Dry Protection, BPA-Free Cordless Electric Kettle, Quiet Fast Boil, Durable Schott Glass
Brand AICOK
Colour Blue
Power / Wattage 1500 watts
Item Dimensions  L x W x H 27.2 x 24.6 x 19.1 centimetres
Illuminated LED Light▶Featuring on illuminated display, the glass kettle can give you visual enjoyment while working, perfect for your kitchen or pantry.
Food grade material▶ The electric kettle is made with glass while the inner lid and base are made of food-grade 304 stainless steel. All the water contact surfaces are constructed of FDA approved & food grade material and heat-resistant.
Heat up quickly and quietly▶ it will be a big help in quickly boiling or heating water for cooking such as pasta or polenta. Especially in the morning, it heats so fast and enables you to make hot cereals very quickly as well as hot chocolate, etc. Which saves you from being late on most days. Only takes 6 minutes to boil 1. 5L water. No more long time waiting.
Safety▶Thanks to boil dry protection, the kettle will not turn on without water or with water but less than 0.5L; It will shut off automatically once the water is boiled. The kettle is also 100% BPA free.
2 Years Quality Support▶Using advanced technology, UL, ETL certification. There will be no worries for your purchase, 2 Years quality assurance, 30 days money back and lifelong tech support are included in your order.
Brand AICOK
Model Number KE8026
Colour Blue
Product Dimensions 27.18 x 24.64 x 19.05 cm; 1.43 Kilograms
Volume Capacity 1.7 litres
Power / Wattage 1500 watts
Item Weight 1.43 kg
",metal,blue,1.43kg,1.7L
"Electric Kettle Stainless Steel,with Temperature Control, Retro Style, Boil Dry Protection, Auto Shut Off, 2200W, 1.7L, Black - Taylor Swoden Aladin 30QZU.
Brand Taylor Swoden
Colour Black
Power / Wattage 2200 watts
BUILT-IN TEMPERATURE GAUGE - It allows you monitor the exact temperature of the water to make drinks like tea, coffee, hot chocolate, etc.
RETRO STYLE - Its sleek design features a retro style, and it will add elegance to your kitchen, making it more enjoyable.
304 STAINLESS STEEL & BPA FREE - Premium 304 food grade stainless steel is corrosion-resistant and more durable compared with 201 series, 100% BPA free, healthy and safe for you and your families.
SAFETY & CONVENIENT - automatic shut off function upon boiling and boil-dry protection. 360 degrees base with integrated cord storage, a concealed heating element, a stay-cool handle, a water window and an ultra-fine filter.
QUALITY ASSURANCE - If you have any questions about our products, you can always contact us and we will be happy to help.
Brand Taylor Swoden
Model Number |USB0114029
Colour Black
Package Dimensions 26.1 x 22.6 x 22.6 cm; 1.5 Kilograms
Volume Capacity 1.7 litres
Power / Wattage 2200 watts
Item Weight 1.5 kg
",metal,black,1.5kg,1.7L
"COMFEE' Electric Kettle 2200W Fast Boil, 1.7L Glass Kettle Cordless with Blue LED Indicator Light, Auto Shut-Off & Boil-Dry Protection, BPA-Free Material, 360° Rotating Base & Removable Filter
Brand COMFEE'
Colour Silver
Item Dimensions  L x W x H 22 x 16 x 24.4 centimetres
✅ PURE WATER QUALITY: The Comfee electric kettle encases your water in high-quality borosilicate glass. The attractive design not only offers a scratch and scuff free alternative to a metal kettle, but it is also a healthier choice. The intelligent filter helps prevents dust from entering the kettle, helping to keep your water quality even purer on every pour.
✅ SPEED BOIL KETTLE: Tired of waiting around for your kettle to boil? With 2200W power, you’ll have enough boiling hot water for your tea, coffee, hot chocolate, pasta, oatmeal, and much more in just a few minutes. And to boil the full 1.7L capacity of the glass kettle? Only 5 minutes!
✅ EASY TO USE: The one-touch button design allows you to open the lid with one hand safely. A large opening and clear glass exterior give you easier access to the interior of the kettle. The kettle has a power cord storage base for easy storage, keeping your countertop clear.
✅ SAFE TECH TECHNOLOGY: Keep your kitchen safe with British Otter thermostat technology. Your kettle comes complete with a 30-seconds auto shut-off feature after you’ve boiled your water. A boil-dry safety feature - automatic turn-off when your kettle has no water inside - giving you extra peace of mind!
✅ COMPLETE VERSATILITY: Completely Cordless when off the base, the Comfee Kettle allows you easy and unobstructed pouring. A 360° Clear Rotational Glass Body is perfect for precise measuring of water.
Brand COMFEE'
Colour Silver
Product Dimensions 22 x 16 x 24.4 cm; 1 Kilograms
Volume Capacity 1.7 litres
Special Features Stylish and crystal glass body design, Illumination ring on boil, Fast boil, more energy saving, Boil-dry protection
Item Weight 1 kg
",glass,silver,1.0kg,1.7L
